week,date,long_ret,short_ret,ctrend_ret,n_coins,n_long,n_short,n_cols
202340,2023-10-06,-0.04257448645171375,-0.04257448645171375,0.0,104,104,104,28
202341,2023-10-13,0.04599364621017999,0.04599364621017999,0.0,114,114,114,28
202342,2023-10-20,0.10969796401411591,0.10969796401411591,0.0,120,120,120,28
202343,2023-10-27,0.06304233068710152,0.06304233068710152,0.0,120,120,120,28
202344,2023-11-03,0.17800960569936614,0.17800960569936614,0.0,129,129,129,28
202345,2023-11-10,-0.1517482002153195,-0.013120673096806342,-0.13862752711851317,138,28,28,28
202346,2023-11-17,0.008607892935037158,0.008607892935037158,0.0,133,133,133,28
202347,2023-11-24,0.0054321643326635735,0.030742105178687733,-0.02530994084602416,135,27,27,28
202348,2023-12-01,0.15364613022589238,0.12479107843714504,0.028855051788747338,130,26,26,28
202349,2023-12-08,0.008949835689703187,0.005661544769222696,0.0032882909204804906,140,28,28,28
202350,2023-12-15,0.14337019640116336,0.08531609756238187,0.05805409883878149,135,27,27,28
202351,2023-12-22,0.08142398851666958,-0.0015672733147115978,0.08299126183138118,139,28,28,28
202352,2023-12-29,-0.0335076153369847,0.025651931549139553,-0.05915954688612425,140,28,28,28
202401,2024-01-05,0.009359902236170704,-0.0070858394817127895,0.016445741717883496,141,29,29,28
202402,2024-01-12,-0.04813679570307647,0.008044070444416771,-0.056180866147493236,138,28,28,28
202403,2024-01-19,-0.03644205527461125,-0.02235973221066645,-0.014082323063944802,140,28,28,28
202404,2024-01-26,0.03152674569131907,-0.03275332745107593,0.064280073142395,133,27,27,28
202405,2024-02-02,0.07468620116716593,0.07088865094423993,0.003797550222925994,126,26,26,28
202406,2024-02-09,0.08631161940374861,0.0075393846078338055,0.0787722347959148,143,29,29,28
202407,2024-02-16,0.035609526421174834,0.035609526421174834,0.0,145,145,145,28
202408,2024-02-23,0.14641472353047275,0.07111344693999362,0.07530127659047912,144,29,29,28
202409,2024-03-01,0.4545129675197282,0.009625886264493077,0.44488708125523513,146,30,30,28
202410,2024-03-08,0.016609027762447125,0.013329392465607943,0.003279635296839181,146,30,30,28
202411,2024-03-15,-0.09091120765258483,-0.012672888748646048,-0.07823831890393879,146,30,30,28
202412,2024-03-22,0.06660496717268177,0.056238174069978705,0.010366793102703067,146,30,30,28
202413,2024-03-29,-0.11457719014619809,-0.05960752245047772,-0.05496966769572037,146,30,30,28
202414,2024-04-05,-0.06208081383025286,-0.16335316689521362,0.10127235306496077,146,30,30,28
202415,2024-04-12,-0.04161307322073495,-0.046605065933339365,0.004991992712604414,146,30,30,28
202416,2024-04-19,-0.005014743639595475,0.08831718152140831,-0.09333192516100379,146,30,30,28
202417,2024-04-26,-0.03667119929157683,0.0025875045279372894,-0.039258703819514115,146,30,30,28
202418,2024-05-03,-0.004020030974031417,-0.021064566101634576,0.017044535127603157,146,30,30,28
202419,2024-05-10,0.08729458393350069,0.057079373500810444,0.030215210432690244,145,29,29,28
202420,2024-05-17,0.04350820713814049,-0.0018835450963469408,0.04539175223448743,144,29,29,28
202421,2024-05-24,0.0145451518387438,0.046233710630476876,-0.031688558791733074,146,30,30,28
202422,2024-05-31,-0.02872808278009278,-0.03500917321949293,0.006281090439400148,146,30,30,28
202423,2024-06-07,-0.12255926824211229,-0.10640629288492467,-0.016152975357187613,148,30,30,28
202424,2024-06-14,-0.01902019736080837,-0.027669945817576102,0.008649748456767734,147,30,30,28
202425,2024-06-21,-0.03348305148024679,-0.05258275100310105,0.019099699522854265,146,30,30,28
202426,2024-06-28,-0.0526146232069329,-0.08201930688545603,0.029404683678523127,147,30,30,28
202427,2024-07-05,0.027997488114084534,0.09899676649618153,-0.07099927838209699,149,30,30,28
202428,2024-07-12,0.20310672714267092,0.0354220604396139,0.167684666703057,136,28,28,28
202429,2024-07-19,6.784547032072011e-05,-0.0046472570153714525,0.004715102485692173,140,28,28,28
202430,2024-07-26,-0.12326143178334555,-0.13422450388538076,0.010963072102035218,136,28,28,28
202431,2024-08-02,-0.003399302207189321,-0.0381892583966795,0.03478995618949018,138,28,28,28
202432,2024-08-09,-0.040083000840466725,-0.07372597750821322,0.033642976667746495,138,28,28,28
202433,2024-08-16,0.10424685956683821,0.21202836478390574,-0.10778150521706753,131,27,27,28
202434,2024-08-23,-0.07405651812247455,-0.05268046248957375,-0.0213760556329008,149,30,30,28
202435,2024-08-30,-0.06225808306053313,-0.10409760563242143,0.0418395225718883,142,29,29,28
202436,2024-09-06,0.042385993097123154,0.13498516191123075,-0.0925991688141076,146,30,30,28
202437,2024-09-13,0.05778041635924439,0.007600163550377639,0.05018025280886675,138,28,28,28
202438,2024-09-20,0.08752045178316879,0.005797570824934881,0.0817228809582339,149,30,30,28
202439,2024-09-27,-0.11784204123126207,-0.022417816741330237,-0.09542422448993183,146,30,30,28
202440,2024-10-04,0.048063188547070604,0.004625060660270473,0.04343812788680013,142,29,29,28
202441,2024-10-11,0.023063920788635516,0.021441725407447085,0.0016221953811884314,146,30,30,28
202442,2024-10-18,-0.05861196286315311,-0.05861196286315311,0.0,142,142,142,28
202443,2024-10-25,0.021088317324987952,0.021088317324987952,0.0,153,153,153,28
202444,2024-11-01,0.11908048091444018,0.08185212340774284,0.03722835750669734,149,30,30,28
202445,2024-11-08,0.20439531244036718,0.20439531244036718,0.0,153,153,153,28
202446,2024-11-15,0.11909279318066303,0.04398469958906,0.07510809359160303,155,31,31,28
202447,2024-11-22,0.19766568233938736,0.02681806606791806,0.1708476162714693,156,32,32,28
202448,2024-11-29,0.3188475421819767,0.04110523591923918,0.2777423062627375,157,32,32,28
202449,2024-12-06,-0.08338459934831484,-0.009645712241720256,-0.07373888710659458,160,32,32,28
202450,2024-12-13,-0.08366513246664543,-0.1889692045994915,0.10530407213284608,160,32,32,28
202451,2024-12-20,-0.03525699086713452,-0.01924149032936325,-0.01601550053777127,160,32,32,28
202452,2024-12-27,-0.018509611625748507,0.1462265886541653,-0.1647362002799138,159,32,32,28
202501,2025-01-03,-0.128200841658124,-0.03316158885629788,-0.09503925280182612,160,32,32,28
