date	YYYYWW	CTREND
2021-06-25	202125	0.190629495
2021-07-02	202126	-0.245958683
2021-07-09	202127	0.009621514
2021-07-16	202128	0.204453077
2021-07-23	202129	-0.086274641
2021-07-30	202130	-0.053328127
2021-08-06	202131	0.039288592
2021-08-13	202132	-0.13392837
2021-08-20	202133	0.222949518
2021-08-27	202134	-0.164355053
2021-09-03	202135	0.056194775
2021-09-10	202136	0.08111485
2021-09-17	202137	-0.065333795
2021-09-24	202138	0.01845168
2021-10-01	202139	-0.012910101
2021-10-08	202140	0.083244744
2021-10-15	202141	0.098265589
2021-10-22	202142	0.154001275
2021-10-29	202143	0.128248504
2021-11-05	202144	0.101072454
2021-11-12	202145	-0.070490674
2021-11-19	202146	0.027347116
2021-11-26	202147	0.235630988
2021-12-03	202148	-0.097869806
2021-12-10	202149	0.109975799
2021-12-17	202150	-0.007472679
2021-12-24	202151	-0.08335118
2021-12-31	202152	-0.035383582
2022-01-07	202201	-0.02357077
2022-01-14	202202	-0.011424581
2022-01-21	202203	0.032372068
2022-01-28	202204	-0.008795504
2022-02-04	202205	0.004209644
2022-02-11	202206	-0.026797752
2022-02-18	202207	-0.002177679
2022-02-25	202208	0.006966194
2022-03-04	202209	0.012737063
2022-03-11	202210	0.000516116
2022-03-18	202211	-0.041759232
2022-03-25	202212	-0.01186997
2022-04-01	202213	0.024847462
2022-04-08	202214	-0.111345929
2022-04-15	202215	0.032767596
2022-04-22	202216	-0.102859174
2022-04-29	202217	0.211019918
2022-05-06	202218	0.035537074
2022-05-13	202219	0.186487562
2022-05-20	202220	-0.037964674
2022-05-27	202221	0.143123004
2022-06-03	202222	0.012772013
